Type: car
Length, m: 4.80
Width, m: 1.60
Height, m: 1.26
Weight, kg: 1300
Frames: 46-136
X, m; Y, m; V, m/s; A, m/s2; J, m/s3; DirX; DirY; Xpxl, m; Ypxl, m; Dxpxl; Dypxl
1.060;7.695;7.100;0.214;NoValue;-0.21784;0.97599;NoValue;NoValue;NoValue;NoValue
1.003;7.974;7.114;0.144;NoValue;-0.21541;0.97652;NoValue;NoValue;NoValue;NoValue
0.946;8.253;7.120;0.098;NoValue;-0.21191;0.97729;NoValue;NoValue;NoValue;NoValue
0.889;8.532;7.120;0.000;NoValue;-0.20887;0.97794;NoValue;NoValue;NoValue;NoValue
0.832;8.811;7.120;0.000;NoValue;-0.20626;0.97850;0.83234;8.81113;-0.17365;0.98481

Type: car
Length, m: 5.00
Width, m: 1.75
Height, m: 1.15
Weight, kg: 1300
Frames: 135-195
X, m; Y, m; V, m/s; A, m/s2; J, m/s3; DirX; DirY; Xpxl, m; Ypxl, m; Dxpxl; Dypxl
19.573;-7.653;8.424;0.000;NoValue;-0.99996;0.00845;19.57300;-7.65252;-0.99939;0.03490
19.236;-7.650;8.424;0.477;NoValue;-0.99996;0.00845;NoValue;NoValue;NoValue;NoValue
18.899;-7.647;8.424;0.656;NoValue;-0.99996;0.00845;NoValue;NoValue;NoValue;NoValue
18.562;-7.644;8.481;0.772;NoValue;-0.99996;0.00845;NoValue;NoValue;NoValue;NoValue
18.225;-7.641;8.517;0.851;NoValue;-0.99996;0.00845;NoValue;NoValue;NoValue;NoValue
17.888;-7.638;8.555;0.943;NoValue;-0.99996;0.00845;NoValue;NoValue;NoValue;NoValue
17.546;-7.637;8.593;1.008;NoValue;-0.99996;0.00845;NoValue;NoValue;NoValue;NoValue
17.198;-7.638;8.640;1.037;NoValue;-0.99996;0.00845;NoValue;NoValue;NoValue;NoValue
16.853;-7.638;8.682;1.130;NoValue;-0.99997;0.00744;NoValue;NoValue;NoValue;NoValue
